# Unmatched predictions: 217
Mexiko | bulinews | Erik Lira Méndez
Portugal | espn_images | Fernandes
Portugal | espn_images | Neves
Portugal | espn_images | Conceição
DR Kongo | bulinews | Lionel Mpasi-Nzau
Usbekistan | bulinews | M. Khamraliyev
Usbekistan | bulinews | Umar Eshmuradov
Usbekistan | bulinews | K. Alidjanov
Usbekistan | bulinews | Sherzod Nasrullayev
Usbekistan | bulinews | Khojimat Erkinov
Usbekistan | rotowire | Khamrobekov
Usbekistan | rotowire | Nasrullayev
Usbekistan | rotowire | Fayzullaev
Kolumbien | bulinews | Juan Cabal
Kolumbien | rotowire | Arias
England | bulinews | Ben White
England | bulinews | Cole Palmer
England | bulinews | Philip Foden
England | fifaworldcup_live | Kyle Walker
England | fifaworldcup_live | Luke Shaw
England | fifaworldcup_live | Phil Foden
England | espn_clean | Lewis Hall
England | espn_clean | Phil Foden
England | espn_images | Alexander-Arnold
England | espn_images | Porro
England | espn_images | Rodri
England | espn_images | Foden
Kroatien | rotowire | Sime Vrsaljko
Ghana | bulinews | Derrick Köhn
Panama | bulinews | JD Gunn
Panama | bulinews | Ariel Arroyo
Panama | bulinews | D. Blanco Aparicio
Panama | bulinews | R. Peralta Robledo
Panama | bulinews | Kevin Galván Lopez
Panama | bulinews | Giovany Herbert
Panama | bulinews | Héctor Humberto Hurtado Biscanio
Panama | bulinews | R. Phillips Hinds
Panama | bulinews | Kadir Barria
Panama | rotowire | Andres Andrade Cedeno
Panama | rotowire | Rodriguez
